identifier,headline,date,source,source,subject,relevant_text,paragraphs,word count,keywords,path
"GOOGL, GOOG",Alphabet Inc.  Arjuna Capital LLC,Activist Campaign to Vote For a Stockholder Proposal Announced - 25-May,18,,,"On 5-25-2018, Arjuna Capital LLC filed a notice of exempt solicitation urging Alphabet Inc. shareholders to vote for a  shareholder proposal at the 2018 annual meeting, requesting the company to provide a report on content  governance, and that such report include an assessment of the scope of platform abuses and address related  ethical concerns. Arjuna outlined that Google's controversies directly impact the company's market value, the  controversies surrounding Google constitute a significant public policy issue, and that Google continued to hold a  mixed track record of protecting users from election interference, fake news, hate speech, sexual harassment and  violence. In addition, Arjuna also indicated that ISS recommended Alphabet shareholders support such proposal. ",1,112,sexual harassment,"GOOGL, GOOG - Alphabet Inc.  Arjuna Capital LLC - Activist Campaign to Vote For a Stockholder Proposal Announced - 25-May-18 - FSWA.pdf"
"GOOGL, GOOG","Alphabet Inc.  Arjuna Capital LLC, New York State Common Retirement Fund, Harrington Investments, Inc., and Baldwin Brothers, Inc...",8-Jun-18,FSWA,,,"On 5-25-2018, Arjuna Capital LLC filed a notice of exempt solicitation urging Alphabet Inc. shareholders to vote for a  shareholder proposal at the 2018 annual meeting, requesting the company to provide a report on content  governance, and that such report include an assessment of the scope of platform abuses and address related  ethical concerns. Arjuna outlined that Google's controversies directly impact the company's market value, the  controversies surrounding Google constitute a significant public policy issue, and that Google continued to hold a  mixed track record of protecting users from election interference, fake news, hate speech, sexual harassment and  violence. In addition, Arjuna also indicated that ISS recommended Alphabet shareholders support such proposal.",1,112,sexual harassment,"GOOGL, GOOG - Alphabet Inc.  Arjuna Capital LLC, New York State Common Retirement Fund, Harrington Investments, Inc., and Baldwin Brothers, Inc... - 08-Jun-18 - FSWA.pdf"
GOOGL,"Alphabet, Inc.(GOOGL",US) Schedules Annual General Meeting for 19-June-2019 1200 PM ET,1,,,,0,0,,"GOOGL - Alphabet, Inc.(GOOGL-US) Schedules Annual General Meeting for 19-June-2019 1200 PM ET - 01-May-19 - FCSTEV.pdf"
GOOGL,"Alphabet, Inc.(GOOGL",US) Schedules Annual General Meeting for 3-June-2020 1200 PM ET,26,,,,0,0,,"GOOGL - Alphabet, Inc.(GOOGL-US) Schedules Annual General Meeting for 3-June-2020 1200 PM ET - 26-Apr-20 - FCSTEV.pdf"
GOOGL,"Alphabet, Inc.(GOOGL",US) Schedules Annual General Meeting for 6-June-2018 1200 PM ET,1,,,,0,0,,"GOOGL - Alphabet, Inc.(GOOGL-US) Schedules Annual General Meeting for 6-June-2018 1200 PM ET - 01-May-18 - FCSTEV.pdf"
GOOGL,"Alphabet, Inc.(GOOGL",US) Schedules Annual General Meeting for 7-June-2017 1200 PM ET,2,,,,0,0,,"GOOGL - Alphabet, Inc.(GOOGL-US) Schedules Annual General Meeting for 7-June-2017 1200 PM ET - 02-May-17 - FCSTEV.pdf"
ATUS,"Altice USA and News 12 Host Nassau County Political Leaders, Students to Discuss Women's Leadership in Recognition of Women's History Month",25-Mar-19,BW,Altice USA,,"In recognition of Women’s History Month, Altice USA (NYSE:ATUS) and its hyper-local news group News 12 Networks, hosted an open forum at the company’s Bethpage, NY theater to discuss women empowerment, leadership and closing the gender gap in the workplace and beyond. | The event was moderated by News 12 Long Island’s longtime and Emmy Award-winning news anchor Carol Silva with featured participants including Nassau County Executive Laura Curran, Nassau County District Attorney Madeline Singas, along with Altice USA’s EVP of Government & Community Affairs and Chief Diversity Officer, Lee Schroeder, and SVP of B2B Product Development and Marketing, Mirna Eusebio- Lithgow. More than 200 people attended the event on March 22, including Altice employees and dozens of local high school students from Bethpage High School, Freeport High School, Roosevelt High School and Westbury High School. | “The critical issue of women and leadership presented a special opportunity for Altice USA and News 12 to bring together the community we serve on Long Island to spark dialogue and set a positive example for our future female leaders of the contributions women are making in this world,” said Lee Schroeder, Executive Vice President of Government & Community Affairs and Chief Diversity Officer for Altice USA. “We thank County Executive Curran and District Attorney Singas for participating in this important forum and sharing their personal experiences to help motivate and empower the female leaders of tomorrow.”",3,"42, 93, 97","Chief Diversity Officer, gender gap","ATUS - Altice USA and News 12 Host Nassau County Political Leaders, Students to Discuss Women's Leadership in Recognition of Women's History Month - 25-Mar-19 - BW.pdf"
ATUS,Altice USA Named One of America's 'Best Employers' by Forbes,18-Apr-19,BW,Altice USA,Award,The company has also been recognized by Cablefax Magazine for its leadership on diversity and inclusion related efforts within the cable and telecommunication industry.,1,24,Diversity and Inclusion,ATUS - Altice USA Named One of America's 'Best Employers' by Forbes - 18-Apr-19 - BW.pdf
ATUS,Altice USA Reports Fourth Quarter and Full Year 2019 Results,12-Feb-20,BW,Altice USA,Earnings,"The company’s Diversity and Inclusion program, which is focused on strengthening our relationship with the diverse communities we serve as well as creating an inclusive workplace to retain and attract the best talent, remains an ongoing priority. The company is proud to have been recognized in recent months both by the National Association of Minorities in Communications as one of the ‘Top Companies for People of Color’ and by the Human Rights Campaign Foundation for a second year in a row as a ‘Best Places to Work for LGBTQ Equality.’ As part of our effort to more deeply connect with veterans, Altice USA expanded its low- income Internet product to include eligible military personnel and established partnerships with organizations aimed at helping Altice USA hire more veterans.",1,127,Diversity and Inclusion,ATUS - Altice USA Reports Fourth Quarter and Full Year 2019 Results - 12-Feb-20 - BW.pdf
AMZN,Amazon Announces First,"Ever 'Amazon Future Engineer Teacher of the Year Awards,' Awarding Seven All-Star Teachers $25,000 Prize Packages fo... - 06",Feb,Amazon,"Corporate Social Responsibility, Award","Awards recognize teachers and their schools inspiring students in underserved and underrepresented communities to build skills and careers in computer science and teachers with a focus on promoting diversity and inclusion in computer science | Amazon (NASDAQ: AMZN) today announced the first-ever Amazon Future Engineer Teacher of the Year Awards to honor and recognize seven all-star teachers and their schools working diligently to help students in underserved and underrepresented communities build life-changing skills to propel their futures in computer science–with prize packages valued at more than $25,000. The more than 2,400 teachers participating in the Amazon Future Engineer Program at over 2,100 schools nationwide can be nominated or apply at AmazonFutureEngineer.com from February 13th to March 12th. Amazon Future Engineer inspires, educates, and prepares hundreds of thousands of students from underserved and underrepresented communities each year in the field of computer science. Amazon Future Engineer teachers are the champions of the program – focusing especially on promoting diversity and inclusion in their computer science classrooms and beyond. | Award recipients will be chosen based on a variety of criteria which includes their commitment to promoting diversity and inclusion within computer science education, a recommendation from a school administrator, and compelling, personal anecdotes about their school and students. Seven award recipients will be chosen from across the country – two high school teachers in the Eastern U.S., two in the West, two in the Central region, and one Amazon Future Engineer Robotics Grant teacher. Scholarship America will judge applications and select the award recipients.",3,"34, 132, 85",Diversity and Inclusion,"AMZN - Amazon Announces First-Ever 'Amazon Future Engineer Teacher of the Year Awards,' Awarding Seven All-Star Teachers $25,000 Prize Packages fo... - 06-Feb-20 - BW.pdf"
